Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x22bf43139b53eb3f2e267f2ebc3370d6c28ed242edba0057ac055b8ab0095562","Success","0x60a08060","78338980","2025-10-30 00:06:29","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.16868542"
"0x4f4f437afd042288c1a8d7ffce7ee96a8800330fbeed3a632546ced470bacf85","Success","0x60803461","78338979","2025-10-30 00:06:27","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.0147926"
"0x607e7cca8642d5e81f12ad454b6d64084dae78850ec64514bf03e1c76b4a245f","Success","0x60808060","78338979","2025-10-30 00:06:27","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.12359871"
"0x531225807dd8b4bd57edf005118658b39c395dbd84c59c3dfe9fae35fd094597","Success","0x60803461","78338978","2025-10-30 00:06:25","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01478309"
"0x7f12ffb520ce6b7d18a0db7903cba171a38c7cf15a8cb5349ac8b1d439fc5d53","Success","0x60803461","78338976","2025-10-30 00:06:21","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01476082"
"0x002a09f764244ced241bf92ba53295a9b8f188c069f2ddb7bb02c63ef4709d1e","Success","0x60803461","78338975","2025-10-30 00:06:19","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01472381"
"0xce22d4d29e081596d2ac6578a4f162973cb2979d42da9153f79229f928562ba1","Success","0x60803461","78338974","2025-10-30 00:06:17","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01467759"
"0x0da8d5bd9028148e222d5180e0c5dc7ec3f6fc6712535bf82a55e871a242997a","Success","0x60803461","78338973","2025-10-30 00:06:15","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01464488"
"0x916898e62ccd51b2de892af2116875447c2de2946bf83aed951a127ced0a1988","Success","0x60a08060","78332566","2025-10-29 20:32:41","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.16918953"
"0x6f1954ec3d46a0011e7320ed846cd8c4989f4846176d97b8d9e55c3b7757a9a4","Success","0x60a08060","78332566","2025-10-29 20:32:41","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.22780867"
"0x8ca6d9c9a1a5de17f0f600b843012e84c377d9f1919bb9fbb42c87751d7dc077","Success","0x60808060","78332565","2025-10-29 20:32:39","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.08010688"
"0x32a2b5d13ca951653218c6b35a4328233deb16e256dea6fcd87650f6a9afc7e9","Success","0x60808060","78332565","2025-10-29 20:32:39","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.10157814"
"0xc04ad844e8a6ae424b076f616fbad99f2ab3a411144f5a60cb66f610534a3973","Success","0x60a08060","78332564","2025-10-29 20:32:37","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.18237319"
"0x070f80e70d287c76c38a2a918d85106639a50b5435c3b7a1e87dbbbd4202e211","Success","0x60a08060","78332564","2025-10-29 20:32:37","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.13822899"
"0xabe9074e13c4643333059720372a20c96f3d5fcb53f37026a8137fdb674e33c3","Success","0x60a08060","78332563","2025-10-29 20:32:35","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.06863599"
"0x758ef66a453f0d6f4a0713958c685a98a0bf3eec663c141d7acb72ab9ce2b545","Success","0x60a08060","78332563","2025-10-29 20:32:35","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.17094916"
"0x8c35be4d23f8f170b467f29c794e878ab214024eb01fda9df1f1eed7a305cfee","Success","0x60808060","78329422","2025-10-29 18:47:53","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.36736324"
"0xfda6937b7fb811ccfacc8f1fd9e34ccbfb0a94c0367eaef82db80cecf1866d31","Success","0x60808060","78329344","2025-10-29 18:45:17","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.41703761"
"0x7e43ddd1fe1ba3e849232dffe5d8439c789ab5f5e97fe22397d9a59b64ed935f","Success","Transfer","78284716","2025-10-28 17:57:41","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","29.14425287 POL","$5.71","0.00063198"
"0xe6b2a37b6ab716e4620f8ec4c2b34c86bd2edbbd51c35f9e31a00dfa2d06828e","Success","Transfer","78284559","2025-10-28 17:52:27","0x760DcE7eA6e8BA224BFFBEB8a7ff4Dd1Ef122BfF","Coinbase 46","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","87.47651107 POL","$17.13","0.00302738"
