Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xc6d3597def952a02ae037ec8c75869e67d09ee39342cdd9edaea6bd023cfd782","Success","Execute Controller","78360770","2025-10-30 12:12:49","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","0x3a23F943181408EAC424116Af7b7790c94Cb97a5","Socket: Socket Gateway","78.62928813 POL","$15.01","0.05894318"
"0xb2da8aa1c98f52e5449d286974175d24c7a17404bd34ea56ff6483ae4342f370","Success","0x60803461","78339797","2025-10-30 00:33:43","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01778475"
"0x4753dc7de0e0626f73de377eef6904c29cdcd392dbe9e90e553a8f03bc717e5e","Success","0x60a08060","78339796","2025-10-30 00:33:41","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.20085467"
"0x84e108a4bde582d24f4ea358a20b53cdcfaa9ed922baf305ac75b4ee4eb339e0","Success","0x60803461","78339795","2025-10-30 00:33:39","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01778458"
"0x061775c21badd539043b7e27657c23e1c098b86ee16a638888a222ea86ad0794","Success","0x60803461","78339794","2025-10-30 00:33:37","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01770587"
"0x14d5c7b83b1d0f05f58d0bab9af38548c2479e42a5f3bb1266a15d711e4afdb4","Success","0x60a08060","78339793","2025-10-30 00:33:35","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.26889366"
"0xac9970458b676c9c47879fad1c5dea870251c103309b9280eaad1c4d4d586053","Success","0x60803461","78339793","2025-10-30 00:33:35","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01763527"
"0xe8bcc4cec3da1db894084ded37a015dbb71ff168e85ac2540e613a7b181c459e","Success","0x60808060","78339792","2025-10-30 00:33:33","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.09428915"
"0xe33abb13fed736ce819fd2c4707b097812c7a822f9909a4394f9dc656ee54310","Success","0x60808060","78339792","2025-10-30 00:33:33","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.11961674"
"0x26742a3d8876dc99c94088df2353af317fe5e0be09fa698d90eb80459bdc70bc","Success","0x60803461","78339791","2025-10-30 00:33:31","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01767471"
"0x30e82804563a273597d556f2ec36eeeb0c71649c27a579c7b7b2aef9160d9f65","Success","0x60a08060","78339790","2025-10-30 00:33:29","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.21420731"
"0x427c8377498204478ca6cd3fb084b1b577444e7ae545e4726f4bd9b919c9cab2","Success","0x60a08060","78339789","2025-10-30 00:33:27","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.16220598"
"0x54f3b536390b3e41b6ef8b395b3927834f868c8b4451042722fee237c7aa2d6c","Success","0x60a08060","78339789","2025-10-30 00:33:27","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.08069046"
"0x4a125f69e988a8a3eb1843d421898e3b7ce01adc17c28c6e11c315d93011a5af","Success","0x60a08060","78339789","2025-10-30 00:33:27","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.20091838"
"0x6716920ac9012e599b82bc32919ff9052b8c6c681cb13455f3303ddb81cbf145","Success","0x60803461","78339788","2025-10-30 00:33:25","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.0176164"
"0xa47f1427740d9e6c3e1c9ee080f09a256ac982079203812d27c37525e320a5af","Success","0x60808060","78339787","2025-10-30 00:33:23","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.14723848"
"0x4792b19723630d3da79206904529679c75d3bfba28c3e92604f98e63089639e2","Success","0x60803461","78339786","2025-10-30 00:33:21","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01763852"
"0x75ff6c3d15fe3adf1b08e0dc89c6ed5b5e470f6fe8c20c354c9d6958b81dacee","Success","0x60803461","78339785","2025-10-30 00:33:19","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01759451"
"0x0ad787bb2661826470ccea615edbf289f1bf76734da72031cc9337a28c93b44d","Success","0x60803461","78339784","2025-10-30 00:33:17","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01756508"
"0x1f5846bd08ac83891b9fce6124f65d14a049ea3646c26643c18982377c8608ba","Success","0x60803461","78339782","2025-10-30 00:33:13","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01754672"
"0xd3e10a39c46a32d951cee967ca876570976fd31b9c7f5455a06a8e6bc1f841a9","Success","0x60803461","78339781","2025-10-30 00:33:11","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01756115"
"0x2712dfed4be48f156c6251cb46fe90146f46d992726397f734047d0150e5665e","Success","0x60a08060","78339582","2025-10-30 00:26:33","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.19796147"
"0xe4fe3c7d100ab54ce42ecf5fa3288e3ef562583c516ef20b1b81c608fdaf937c","Success","0x60803461","78339581","2025-10-30 00:26:31","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01738639"
"0xbc4f80bea7e40c2b3ae4a3c4c8d0b1b226aeae07c9959e2372e594d4155097fe","Success","0x60808060","78339580","2025-10-30 00:26:29","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.1454317"
"0xfdad2f67d82837b3baeb277740b8748232a463c0345865f7f0a5bb30c1717385","Success","0x60803461","78339579","2025-10-30 00:26:27","0x8495B3f7493263685fFcDA2602fFfF349d4eD3B8","","Contract Creation","","0 POL","$0.00","0.01739631"
